stop_id,stop_name,stop_lat,stop_lon,zone_id
"at:49:615:0:3","JosefstÃ¤dter StraÃŸe U","48.21109112","16.33923212","0100"
"at:49:615:0:4","JosefstÃ¤dter StraÃŸe","48.21128867","16.33968128","0100"
"at:49:615:0:6","JosefstÃ¤dter StraÃŸe U","48.21137248","16.33880093","0100"
"at:49:615:0:7","JosefstÃ¤dter StraÃŸe","48.21146826","16.33922314","0100"
"at:49:615:0:8","JosefstÃ¤dter StraÃŸe U","48.21112105","16.33897161","0100"
"at:49:615:0:9","JosefstÃ¤dter StraÃŸe","48.21130064","16.33854940","0100"
"at:49:616:0:1","Leibnizgasse","48.17073977","16.37530847","0100"
"at:49:617:0:5","Julius-Ficker-StraÃŸe","48.26622486","16.44856608","0100"
"at:49:617:0:6","Julius-Ficker-StraÃŸe","48.26644013","16.44858404","0100"
"at:49:618:0:1","Julius-Payer-Gasse","48.23437241","16.42125729","0100"
"at:49:618:0:2","Julius-Payer-Gasse","48.23465363","16.42125729","0100"
"at:49:619:0:1","Julius-Raab-Platz","48.21035481","16.38250397","0100"
"at:49:619:0:3","Julius-Raab-Platz","48.21049848","16.38276448","0100"
"at:49:619:0:4","Julius-Raab-Platz","48.21119289","16.38324957","0100"
"at:49:619:0:6","Julius-Raab-Platz","48.21118690","16.38333940","0100"
"at:49:619:0:7","Julius-Raab-Platz","48.21128867","16.38307889","0100"
"at:49:619:0:8","Julius-Raab-Platz","48.21128268","16.38317771","0100"
"at:49:62:0:1","An der Bien","48.20693649","16.48016881","0100"
"at:49:62:0:2","An der Bien","48.20695445","16.48042034","0100"
"at:49:620:0:1","JungstraÃŸe","48.22112911","16.40581525","0100"
"at:49:620:0:2","JungstraÃŸe","48.22104532","16.40568051","0100"
"at:49:621:0:1","Jura-Soyfer-Gasse","48.14929956","16.39269985","0100"
"at:49:622:0:1","Justgasse","48.27606072","16.42138306","0100"
"at:49:623:0:1","Melangasse","48.25649477","16.44048124","0100"
"at:49:623:0:2","Melangasse","48.25584882","16.44053514","0100"
"at:49:624:0:1","In der Au","48.20933712","16.48625939","0100"
"at:49:624:0:2","In der Au","48.20926528","16.48613362","0100"
"at:49:625:0:1","JÃ¤gerwaldsiedlung","48.22393006","16.24638226","0100"
"at:49:627:0:10","Kagran U","48.24331104","16.43376184","0100"
"at:49:627:0:12","Kagran U","48.24359222","16.43323184","0100"
"at:49:627:0:14","Kagran U","48.24325720","16.43366303","0100"
"at:49:627:0:18","Kagran","48.24319737","16.43330370","0100"
"at:49:627:0:2","Kagran U","48.24335890","16.43368998","0100"
"at:49:627:0:3","Kagran","48.24353239","16.43337557","0100"
"at:49:627:0:4","Kagran","48.24328113","16.43368998","0100"
"at:49:627:0:5","Kagran U","48.24368794","16.43307912","0100"
"at:49:627:0:6","Kagran U","48.24389732","16.43376184","0100"
"at:49:627:0:8","Kagran U","48.24349650","16.43331268","0100"
"at:49:627:0:9","Kagran","48.24326916","16.43319590","0100"
"at:49:628:0:1","Hagedornweg","48.23275682","16.49265539","0100"
"at:49:63:0:1","An der Niederhaid","48.20411665","16.26987320","0100"
"at:49:630:0:1","Kagraner Anger","48.23936842","16.44861998","0100"
