route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"23-76A-j25-24","04","76A","Enkplatz/Grillgasse - Alberner Hafen","3","0A295D","FFFFFF"
"23-76B-j25-1","04","76B","Enkplatz - Alberner Hafen","3","0A295D","FFFFFF"
"23-76B-j25-2","04","76B","Enkplatz - Alberner Hafen","3","0A295D","FFFFFF"
"23-76B-j25-24","04","76B","Enkplatz - Alberner Hafen","3","0A295D","FFFFFF"
"23-76B-j25-31","04","76B","Enkplatz - Alberner Hafen","3","0A295D","FFFFFF"
"23-77A-j25-1","04","77A","Rennweg - Lusthaus","3","0A295D","FFFFFF"
"23-77A-j25-2","04","77A","Rennweg - Lusthaus","3","0A295D","FFFFFF"
"23-77A-j25-24","04","77A","Rennweg - Lusthaus","3","0A295D","FFFFFF"
"23-79A-j25-1","04","79A","Donaumarina - Kaiserebersdorf, Dreherstraße","3","0A295D","FFFFFF"
"23-79A-j25-2","04","79A","Donaumarina, Chrastekgasse - Kaiserebersdorf, Münnichplatz","3","0A295D","FFFFFF"
"23-79A-j25-24","04","79A","Donaumarina - Kaiserebersdorf, Dreherstraße","3","0A295D","FFFFFF"
"23-79A-j25-31","04","79A","Donaumarina - Kaiserebersdorf, Dreherstraße","3","0A295D","FFFFFF"
"23-79B-j25-1","04","79B","Donaumarina - Kaiserebersdorf, Dreherstraße","3","0A295D","FFFFFF"
"23-79B-j25-2","04","79B","Donaumarina - Kaiserebersdorf, Dreherstraße","3","0A295D","FFFFFF"
"23-79B-j25-3","04","79B","Donaumarina, Chrastekgasse - Kaiserebersdorf, Münnichplatz","3","0A295D","FFFFFF"
"23-7A-j25-1","04","7A","Meidling Hauptstraße - Reumannplatz","3","0A295D","FFFFFF"
"23-7A-j25-24","04","7A","Meidling Hauptstraße - Reumannplatz","3","0A295D","FFFFFF"
"23-7A-j25-31","04","7A","Meidling Hauptstraße - Reumannplatz","3","0A295D","FFFFFF"
"23-7B-j25-1","04","7B","Wienerberg City - Meidling","3","0A295D","FFFFFF"
"23-7B-j25-2","04","7B","Wienerberg City - Meidling","3","0A295D","FFFFFF"
"23-7B-j25-3","04","7B","Wienerberg City - Meidling","3","0A295D","FFFFFF"
"23-80A-j25-1","04","80A","Praterstern - Neu Marx","3","0A295D","FFFFFF"
"23-80A-j25-24","04","80A","Praterstern - Neu Marx","3","0A295D","FFFFFF"
"23-80A-j25-31","04","80A","Praterstern - Neu Marx","3","0A295D","FFFFFF"
"23-80A-j25-90","04","80A","Praterstern - Neu Marx","3","0A295D","FFFFFF"
"23-82A-j25-1","04","82A","Praterstern - Krieau","3","0A295D","FFFFFF"
"23-82A-j25-2","04","82A","Praterstern - Krieau","3","0A295D","FFFFFF"
"23-84A-j25-1","04","84A","Aspernstraße - Seestadt Baustellenfahrplan gültig von 02.07. bis vsl. September 2025","3","0A295D","FFFFFF"
"23-84A-j25-2","04","84A","Aspernstraße - Seestadt","3","0A295D","FFFFFF"
"23-85A-j25-1","04","85A","Hausfeldstraße - Breitenlee, Rautenweg","3","0A295D","FFFFFF"
"23-85A-j25-2","04","85A","Hausfeldstraße - Breitenlee, Rautenweg","3","0A295D","FFFFFF"
"23-85A-j25-24","04","85A","Hausfeldstraße - Breitenlee, Rautenweg","3","0A295D","FFFFFF"
"23-85A-j25-31","04","85A","Hausfeldstraße - Breitenlee, Rautenweg","3","0A295D","FFFFFF"
